iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 18, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"546,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","127,418,169.40","0.46","127,418,169.40","214,730,085.00","-","CNE1000003G1","B1G1QD8","0.59","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","124,354,055.68","0.45","124,354,055.68","11,023,500.00","-","KYG970081173","BL6B9P1","11.28","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"051910","LG CHEM LTD","Materials","Equity","121,293,106.58","0.44","121,293,106.58","163,850.00","S63469134","KR7051910008","6346913","740.27","Korea (South)","Korea Exchange (Stock Market)","USD","1,099.60","KRW","-"
"GAZP","GAZPROM","Energy","Equity","118,655,077.15","0.43","118,655,077.15","40,668,629.00","-","RU0007661625","B59L4L7","2.92","Russian Federation","Standard-Classica-Forts","USD","73.44","RUB","Jan 01, 1970"
"035420","NAVER CORP","Communication","Equity","113,289,796.29","0.41","113,289,796.29","440,968.00","S65603938","KR7035420009","6560393","256.91","Korea (South)","Korea Exchange (Stock Market)","USD","1,099.60","KRW","-"
"068270","CELLTRION INC","Health Care","Equity","109,305,532.92","0.39","109,305,532.92","337,619.00","-","KR7068270008","B0C5YV1","323.75","Korea (South)","Korea Exchange (Stock Market)","USD","1,099.60","KRW","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","105,748,496.59","0.38","105,748,496.59","17,011,279.00","-","BRITUBACNPR1","B037HR3","6.22","Brazil","XBSP","USD","5.09","BRL","-"
"LKOH","NK LUKOIL","Energy","Equity","102,729,363.63","0.37","102,729,363.63","1,465,300.00","-","RU0009024277","B59SNS8","70.11","Russian Federation","Standard-Classica-Forts","USD","73.44","RUB","Jan 01, 1970"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","101,561,251.36","0.37","101,561,251.36","196,614.00","S67716456","KR7006400006","6771645","516.55","Korea (South)","Korea Exchange (Stock Market)","USD","1,099.60","KRW","-"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","95,211,709.73","0.34","95,211,709.73","1,359,973.00","874080104","US8740801043","B4MGD82","70.01","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
