iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 17, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"546,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ICICIBANK","ICICI BANK LTD","Financials","Equity","127,693,038.36","0.46","127,693,038.36","18,409,038.00","-","INE090A01021","BSZ2BY7","6.94","India","National Stock Exchange Of India","USD","73.58","INR","-"
"941","CHINA MOBILE LTD","Communication","Equity","124,632,826.81","0.45","124,632,826.81","21,884,000.00","S60735560","HK0941009539","6073556","5.70","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","Jan 01, 1998"
"051910","LG CHEM LTD","Materials","Equity","124,384,231.95","0.45","124,384,231.95","163,850.00","S63469134","KR7051910008","6346913","759.13","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
"2269","WUXI BIOLOGICS CAYMAN -NEW INC N1","Health Care","Equity","124,210,253.22","0.45","124,210,253.22","11,023,500.00","-","KYG970081173","BL6B9P1","11.27","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"GAZP","GAZPROM","Energy","Equity","119,325,950.39","0.43","119,325,950.39","40,668,629.00","-","RU0007661625","B59L4L7","2.93","Russian Federation","Standard-Classica-Forts","USD","72.87","RUB","Jan 01, 1970"
"035420","NAVER CORP","Communication","Equity","114,945,699.00","0.41","114,945,699.00","440,968.00","S65603938","KR7035420009","6560393","260.67","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
"068270","CELLTRION INC","Health Care","Equity","108,540,795.26","0.39","108,540,795.26","337,619.00","-","KR7068270008","B0C5YV1","321.49","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","106,610,470.19","0.38","106,610,470.19","17,011,279.00","-","BRITUBACNPR1","B037HR3","6.27","Brazil","XBSP","USD","5.06","BRL","-"
"LKOH","NK LUKOIL","Energy","Equity","103,698,156.94","0.37","103,698,156.94","1,465,300.00","-","RU0009024277","B59SNS8","70.77","Russian Federation","Standard-Classica-Forts","USD","72.87","RUB","Jan 01, 1970"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","101,961,986.56","0.37","101,961,986.56","196,614.00","S67716456","KR7006400006","6771645","518.59","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
