iShares MSCI India ETF
Fund Holdings as of,"Nov 23, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"91,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","437,836,462.55","13.00","437,836,462.55","16,633,218.00","S60996261","INE002A01018","6099626","26.32","India","National Stock Exchange Of India","USD","74.11","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","305,580,885.86","9.08","305,580,885.86","19,867,047.00","S62051222","INE009A01021","6205122","15.38","India","National Stock Exchange Of India","USD","74.11","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","291,400,439.89","8.65","291,400,439.89","9,594,186.00","S61719001","INE001A01036","6171900","30.37","India","National Stock Exchange Of India","USD","74.11","-","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","193,034,698.34","5.73","193,034,698.34","5,251,015.00","-","INE467B01029","B01NPJ1","36.76","India","National Stock Exchange Of India","USD","74.11","-","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","187,949,763.71","5.58","187,949,763.71","29,745,333.00","-","INE090A01021","BSZ2BY7","6.32","India","National Stock Exchange Of India","USD","74.11","-","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","137,778,002.31","4.09","137,778,002.31","4,794,877.00","S62616743","INE030A01027","6261674","28.73","India","National Stock Exchange Of India","USD","74.11","-","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","106,115,363.08","3.15","106,115,363.08","13,203,176.00","-","INE238A01034","BPFJHC7","8.04","India","National Stock Exchange Of India","USD","74.11","-","INR"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","71,672,337.11","2.13","71,672,337.11","6,329,085.00","S62948963","INE860A01027","6294896","11.32","India","National Stock Exchange Of India","USD","74.11","-","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","68,136,462.32","2.02","68,136,462.32","1,049,442.00","-","INE296A01024","BD2N0P2","64.93","India","National Stock Exchange Of India","USD","74.11","-","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","66,433,848.16","1.97","66,433,848.16","704,542.00","S66337122","INE585B01010","6633712","94.29","India","National Stock Exchange Of India","USD","74.11","-","INR"
