iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 08, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"ICICIBANK","ICICI BANK LTD","Financials","Equity","127,235,902.79","0.46","127,235,902.79","18,409,038.00","-","INE090A01021","BSZ2BY7","6.91","India","National Stock Exchange Of India","USD","73.56","-","INR"
"051910","LG CHEM LTD","Materials","Equity","122,427,077.58","0.45","122,427,077.58","163,850.00","S63469134","KR7051910008","6346913","747.19","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"2269","WUXI BIOLOGICS CAYMAN -NEW INC N1","Health Care","Equity","116,052,561.30","0.42","116,052,561.30","11,023,500.00","-","KYG970081173","BL6B9P1","10.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"035420","NAVER CORP","Communication","Equity","115,787,617.47","0.42","115,787,617.47","440,968.00","S65603938","KR7035420009","6560393","262.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"068270","CELLTRION INC","Health Care","Equity","108,869,218.72","0.40","108,869,218.72","337,619.00","-","KR7068270008","B0C5YV1","322.46","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"GAZP","GAZPROM","Energy","Equity","105,460,088.01","0.38","105,460,088.01","40,668,629.00","-","RU0007661625","B59L4L7","2.59","Russian Federation","Standard-Classica-Forts","USD","73.30","-","RUB"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","101,958,864.14","0.37","101,958,864.14","17,011,279.00","-","BRITUBACNPR1","B037HR3","5.99","Brazil","XBSP","USD","5.07","-","BRL"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","100,172,786.07","0.37","100,172,786.07","196,614.00","S67716456","KR7006400006","6771645","509.49","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"LKOH","NK LUKOIL","Energy","Equity","99,931,374.41","0.36","99,931,374.41","1,465,300.00","-","RU0009024277","B59SNS8","68.20","Russian Federation","Standard-Classica-Forts","USD","73.30","-","RUB"
"3988","BANK OF CHINA LTD H","Financials","Equity","95,278,217.51","0.35","95,278,217.51","278,678,000.00","-","CNE1000001Z5","B154564","0.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","93,892,535.92","0.34","93,892,535.92","1,359,973.00","874080104","US8740801043","B4MGD82","69.04","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","93,879,742.49","0.34","93,879,742.49","546,365.00","S64510555","KR7005380001","6451055","171.83","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","91,196,803.05","0.33","91,196,803.05","2,968,234.00","S62616743","INE030A01027","6261674","30.72","India","National Stock Exchange Of India","USD","73.56","-","INR"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","90,519,615.79","0.33","90,519,615.79","17,198,727.00","S26845321","BRPETRACNPR6","2684532","5.26","Brazil","XBSP","USD","5.07","-","BRL"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","87,215,380.56","0.32","87,215,380.56","545,028.00","647581107","US6475811070","B1CN1G6","160.02","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"1120","AL RAJHI BANK","Financials","Equity","85,923,870.13","0.31","85,923,870.13","4,379,549.00","-","SA0007879113","B12LZH9","19.62","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"AMXL","AMERICA MOVIL L","Communication","Equity","85,782,154.12","0.31","85,782,154.12","119,271,000.00","S26674705","MXP001691213","2667470","0.72","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","85,421,164.83","0.31","85,421,164.83","13,894,967.00","-","CNE1000002M1","B1DYPZ5","6.15","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","85,039,999.99","0.31","85,039,999.99","85,040,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","84,108,442.79","0.31","84,108,442.79","7,330,401.00","-","BRB3SAACNOR6","BG36ZK1","11.47","Brazil","XBSP","USD","5.07","-","BRL"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","83,323,199.47","0.30","83,323,199.47","3,239,157.00","-","SA0007879121","B1324D0","25.72","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","81,281,164.71","0.30","81,281,164.71","1,420,751.00","98850P109","US98850P1093","BYW4289","57.21","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","80,260,739.90","0.29","80,260,739.90","34,899,200.00","-","ID1000109507","B01C1P6","2.30","Indonesia","Indonesia Stock Exchange","USD","14,110.00","-","IDR"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","79,979,109.70","0.29","79,979,109.70","15,826,301.00","S61481974","QA0006929895","6148197","5.05","Qatar","Qatar Exchange","USD","3.64","-","QAR"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","77,787,383.52","0.28","77,787,383.52","274,087.00","-","CNE0000018R8","BP3R2F1","283.81","China","Shanghai Stock Exchange","USD","6.53","-","CNY"
