iShares MSCI Mexico ETF
Fund Holdings as of,"Dec 15, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"28,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMXL","AMERICA MOVIL L","Communication","Equity","188,264,831.39","15.57","188,264,831.39","264,425,318.00","S26674705","MXP001691213","2667470","0.71","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","114,576,638.89","9.47","114,576,638.89","14,849,410.00","S22420590","MXP320321310","2242059","7.72","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","110,288,177.94","9.12","110,288,177.94","40,025,733.00","-","MX01WA000038","BW1YVH8","2.76","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","98,427,098.86","8.14","98,427,098.86","18,292,961.00","S24210411","MXP370711014","2421041","5.38","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","64,016,177.24","5.29","64,016,177.24","15,880,086.00","S26436741","MXP370841019","2643674","4.03","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"CEMEXCPO","CEMEX CPO","Materials","Equity","57,275,512.61","4.74","57,275,512.61","109,504,029.00","S24064578","MXP225611567","2406457","0.52","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","34,826,894.67","2.88","34,826,894.67","3,212,149.00","-","MX01GA000004","B0ZV104","10.84","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","32,957,062.64","2.73","32,957,062.64","20,246,347.00","S23801087","MXP4987V1378","2380108","1.63","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","29,936,633.84","2.48","29,936,633.84","14,051,704.00","S23924715","MXP495211262","2392471","2.13","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","29,754,650.92","2.46","29,754,650.92","26,848,600.00","-","MXCFFU000001","B671GT8","1.11","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","27,916,555.09","2.31","27,916,555.09","1,766,845.00","S26393496","MXP001661018","2639349","15.80","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"GRUMAB","GRUMA","Consumer Staples","Equity","21,865,466.93","1.81","21,865,466.93","1,934,460.00","S23925456","MXP4948K1056","2392545","11.30","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","21,729,562.20","1.80","21,729,562.20","13,195,854.00","S24919144","MXP606941179","2491914","1.65","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"PE&OLES*","INDUST PENOLES","Materials","Equity","20,815,745.45","1.72","20,815,745.45","1,269,573.00","S24482002","MXP554091415","2448200","16.40","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materials","Equity","20,205,522.13","1.67","20,205,522.13","9,223,642.00","-","MX01OR010004","BH3T8K8","2.19","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Financials","Equity","19,627,297.91","1.62","19,627,297.91","20,099,992.00","S28223980","MXP370641013","2822398","0.98","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","19,008,093.68","1.57","19,008,093.68","3,857,429.00","S28238855","MX01AC100006","2823885","4.93","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Utilities","Equity","18,675,854.22","1.54","18,675,854.22","4,714,200.00","-","MX01IE060002","B84XBP2","3.96","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Industrials","Equity","18,312,644.84","1.51","18,312,644.84","3,023,992.00","-","MX01OM000018","B1KFX13","6.06","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Industrials","Equity","17,493,607.64","1.45","17,493,607.64","2,019,335.00","S23933880","MX01PI000005","2393388","8.66","Mexico","Bolsa Mexicana De Valores","USD","20.11","MXN","-"
