iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 14, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,738,326,182.23","6.35","1,738,326,182.23","6,789,541.00","01609W102","US01609W1027","BP41ZD1","256.03","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,593,333,428.06","5.82","1,593,333,428.06","88,292,000.00","S68891068","TW0002330008","6889106","18.05","Taiwan","Taiwan Stock Exchange","USD","28.15","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,518,149,154.77","5.55","1,518,149,154.77","20,611,600.00","-","KYG875721634","BMMV2K8","73.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,154,621,228.67","4.22","1,154,621,228.67","17,080,728.00","S67717207","KR7005930003","6771720","67.60","Korea (South)","Korea Exchange (Stock Market)","USD","1,091.75","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","470,971,444.79","1.72","470,971,444.79","12,919,800.00","-","KYG596691041","BGJW376","36.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","319,938,015.79","1.17","319,938,015.79","1,555,633.00","S66226911","ZAE000015889","6622691","205.66","South Africa","Johannesburg Stock Exchange","USD","15.03","ZAR","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","277,579,220.96","1.01","277,579,220.96","10,254,317.00","S60996261","INE002A01018","6099626","27.07","India","National Stock Exchange Of India","USD","73.56","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","256,146,726.48","0.94","256,146,726.48","21,226,500.00","-","CNE1000003X6","B01FLR7","12.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","255,142,481.65","0.93","255,142,481.65","343,394,760.00","-","CNE1000002H1","B0LMTQ3","0.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","247,784,925.56","0.91","247,784,925.56","3,098,861.00","47215P106","US47215P1066","BMM27D9","79.96","China","NASDAQ","USD","1.00","USD","-"
