iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 20, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,868,652,624.06","7.06","1,868,652,624.06","6,902,019.00","01609W102","US01609W1027","BP41ZD1","270.74","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,598,173,487.95","6.04","1,598,173,487.95","21,071,700.00","-","KYG875721634","BMMV2K8","75.84","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,548,666,070.52","5.85","1,548,666,070.52","90,497,000.00","S68891068","TW0002330008","6889106","17.11","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,018,624,003.41","3.85","1,018,624,003.41","17,544,106.00","S67717207","KR7005930003","6771720","58.06","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.35","-","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","514,582,078.50","1.94","514,582,078.50","13,114,400.00","-","KYG596691041","BGJW376","39.24","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","326,335,858.63","1.23","326,335,858.63","1,602,348.00","S66226911","ZAE000015889","6622691","203.66","South Africa","Johannesburg Stock Exchange","USD","15.33","-","ZAR"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","274,404,919.72","1.04","274,404,919.72","3,127,478.00","47215P106","US47215P1066","BMM27D9","87.74","China","NASDAQ","USD","1.00","-","USD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","268,681,873.57","1.01","268,681,873.57","10,489,131.00","S60996261","INE002A01018","6099626","25.62","India","National Stock Exchange Of India","USD","74.16","-","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","266,142,398.60","1.01","266,142,398.60","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","249,298,028.43","0.94","249,298,028.43","21,925,500.00","-","CNE1000003X6","B01FLR7","11.37","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","195,829,999.99","0.74","195,829,999.99","195,830,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","193,376,480.50","0.73","193,376,480.50","3,926,426.00","62914V106","US62914V1061","BFZX9H8","49.25","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","190,275,573.68","0.72","190,275,573.68","6,043,295.00","S61719001","INE001A01036","6171900","31.49","India","National Stock Exchange Of India","USD","74.16","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","186,332,358.30","0.70","186,332,358.30","12,523,203.00","S62051222","INE009A01021","6205122","14.88","India","National Stock Exchange Of India","USD","74.16","-","INR"
"000660","SK HYNIX INC","Information Technology","Equity","174,796,989.81","0.66","174,796,989.81","2,012,242.00","S64502677","KR7000660001","6450267","86.87","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.35","-","KRW"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","173,085,553.67","0.65","173,085,553.67","13,586,609.00","S21962865","BRVALEACNOR0","2196286","12.74","Brazil","XBSP","USD","5.37","-","BRL"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","158,835,390.14","0.60","158,835,390.14","3,035,990.00","S67738120","KR7005931001","6773812","52.32","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.35","-","KRW"
"2454","MEDIATEK INC","Information Technology","Equity","145,707,449.58","0.55","145,707,449.58","5,562,338.00","S63724801","TW0002454006","6372480","26.20","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","142,530,220.80","0.54","142,530,220.80","992,896.00","722304102","US7223041028","BYVW0F7","143.55","China","NASDAQ","USD","1.00","-","USD"
"NTES","NETEASE ADR INC","Communication","Equity","141,332,323.14","0.53","141,332,323.14","1,511,414.00","64110W102","US64110W1027","2606440","93.51","China","NASDAQ","USD","1.00","-","USD"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","136,673,631.51","0.52","136,673,631.51","1,004,141.00","056752108","US0567521085","B0FXT17","136.11","China","NASDAQ","USD","1.00","-","USD"
"941","CHINA MOBILE LTD","Communication","Equity","136,310,456.36","0.51","136,310,456.36","22,508,500.00","S60735560","HK0941009539","6073556","6.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","132,148,914.58","0.50","132,148,914.58","45,677,873.00","S64385644","TW0002317005","6438564","2.89","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","131,367,599.37","0.50","131,367,599.37","223,345,085.00","-","CNE1000003G1","B1G1QD8","0.59","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"1810","XIAOMI CORP","Information Technology","Equity","127,739,783.56","0.48","127,739,783.56","38,760,400.00","-","KYG9830T1067","BG0ZMJ9","3.30","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"SBER","SBERBANK ROSSII","Financials","Equity","123,008,464.50","0.46","123,008,464.50","39,342,681.00","-","RU0009029540","4767981","3.13","Russian Federation","Standard-Classica-Forts","USD","76.12","-","RUB"
