iShares MSCI India ETF
Fund Holdings as of,"Dec 17, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"100,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","428,579,168.28","10.82","428,579,168.28","15,882,316.00","S60996261","INE002A01018","6099626","26.98","India","National Stock Exchange Of India","USD","73.58","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","321,461,650.06","8.11","321,461,650.06","9,482,062.00","S61719001","INE001A01036","6171900","33.90","India","National Stock Exchange Of India","USD","73.58","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","298,863,838.87","7.54","298,863,838.87","18,970,970.00","S62051222","INE009A01021","6205122","15.75","India","National Stock Exchange Of India","USD","73.58","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","201,450,466.04","5.08","201,450,466.04","5,222,757.00","-","INE467B01029","B01NPJ1","38.57","India","National Stock Exchange Of India","USD","73.58","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","197,059,355.02","4.97","197,059,355.02","28,409,326.00","-","INE090A01021","BSZ2BY7","6.94","India","National Stock Exchange Of India","USD","73.58","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","144,057,048.78","3.64","144,057,048.78","4,578,274.00","S62616743","INE030A01027","6261674","31.47","India","National Stock Exchange Of India","USD","73.58","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","108,464,770.14","2.74","108,464,770.14","1,509,658.00","-","INE296A01024","BD2N0P2","71.85","India","National Stock Exchange Of India","USD","73.58","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","103,708,292.49","2.62","103,708,292.49","12,605,080.00","-","INE238A01034","BPFJHC7","8.23","India","National Stock Exchange Of India","USD","73.58","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","82,418,711.39","2.08","82,418,711.39","3,085,591.00","S61356614","INE237A01028","6135661","26.71","India","National Stock Exchange Of India","USD","73.58","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","79,130,802.00","2.00","79,130,802.00","756,777.00","S66337122","INE585B01010","6633712","104.56","India","National Stock Exchange Of India","USD","73.58","INR","-"
