iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 27, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,908,270,213.12","7.08","1,908,270,213.12","6,902,019.00","01609W102","US01609W1027","BP41ZD1","276.48","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,584,982,240.43","5.88","1,584,982,240.43","21,071,700.00","-","KYG875721634","BMMV2K8","75.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,552,710,759.46","5.76","1,552,710,759.46","90,497,000.00","S68891068","TW0002330008","6889106","17.16","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,084,431,983.69","4.03","1,084,431,983.69","17,544,106.00","S67717207","KR7005930003","6771720","61.81","Korea (South)","Korea Exchange (Stock Market)","USD","1,103.35","-","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","527,909,273.30","1.96","527,909,273.30","13,114,400.00","-","KYG596691041","BGJW376","40.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","332,064,155.14","1.23","332,064,155.14","1,602,348.00","S66226911","ZAE000015889","6622691","207.24","South Africa","Johannesburg Stock Exchange","USD","15.27","-","ZAR"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","279,627,807.98","1.04","279,627,807.98","3,127,478.00","47215P106","US47215P1066","BMM27D9","89.41","China","NASDAQ","USD","1.00","-","USD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","277,112,129.28","1.03","277,112,129.28","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.79","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","267,212,840.87","0.99","267,212,840.87","10,254,317.00","S60996261","INE002A01018","6099626","26.06","India","National Stock Exchange Of India","USD","74.06","-","INR"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","259,403,070.67","0.96","259,403,070.67","21,925,500.00","-","CNE1000003X6","B01FLR7","11.83","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","212,027,004.00","0.79","212,027,004.00","3,926,426.00","62914V106","US62914V1061","BFZX9H8","54.00","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","201,677,422.92","0.75","201,677,422.92","201,677,423.00","-","-","-","100.00","United States","-","USD","1.00","-","USD"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","200,032,585.68","0.74","200,032,585.68","13,586,609.00","S21962865","BRVALEACNOR0","2196286","14.72","Brazil","XBSP","USD","5.33","-","BRL"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","186,223,597.27","0.69","186,223,597.27","6,112,364.00","S61719001","INE001A01036","6171900","30.47","India","National Stock Exchange Of India","USD","74.06","-","INR"
