iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 16, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"546,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,778,112,892.49","6.43","1,778,112,892.49","6,789,541.00","01609W102","US01609W1027","BP41ZD1","261.89","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,606,935,428.26","5.81","1,606,935,428.26","88,292,000.00","S68891068","TW0002330008","6889106","18.20","Taiwan","Taiwan Stock Exchange","USD","28.13","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,519,586,341.24","5.49","1,519,586,341.24","20,611,600.00","-","KYG875721634","BMMV2K8","73.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,152,299,215.14","4.17","1,152,299,215.14","17,080,728.00","S67717207","KR7005930003","6771720","67.46","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.95","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","465,338,135.66","1.68","465,338,135.66","12,919,800.00","-","KYG596691041","BGJW376","36.02","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","344,779,999.99","1.25","344,779,999.99","344,780,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","320,540,321.87","1.16","320,540,321.87","1,555,633.00","S66226911","ZAE000015889","6622691","206.05","South Africa","Johannesburg Stock Exchange","USD","14.84","ZAR","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","275,429,526.30","1.00","275,429,526.30","10,254,317.00","S60996261","INE002A01018","6099626","26.86","India","National Stock Exchange Of India","USD","73.59","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","256,575,640.50","0.93","256,575,640.50","21,226,500.00","-","CNE1000003X6","B01FLR7","12.09","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","254,717,597.20","0.92","254,717,597.20","343,394,760.00","-","CNE1000002H1","B0LMTQ3","0.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","253,393,863.97","0.92","253,393,863.97","3,098,861.00","47215P106","US47215P1066","BMM27D9","81.77","China","NASDAQ","USD","1.00","USD","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","222,535,496.01","0.80","222,535,496.01","13,231,209.00","S21962865","BRVALEACNOR0","2196286","16.82","Brazil","XBSP","USD","5.13","BRL","-"
"000660","SK HYNIX INC","Information Technology","Equity","208,789,428.22","0.75","208,789,428.22","1,943,874.00","S64502677","KR7000660001","6450267","107.41","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.95","KRW","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","201,397,565.79","0.73","201,397,565.79","6,112,364.00","S61719001","INE001A01036","6171900","32.95","India","National Stock Exchange Of India","USD","73.59","INR","-"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","198,477,085.95","0.72","198,477,085.95","1,364,385.00","722304102","US7223041028","BYVW0F7","145.47","China","NASDAQ","USD","1.00","USD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","194,081,481.96","0.70","194,081,481.96","12,251,841.00","S62051222","INE009A01021","6205122","15.84","India","National Stock Exchange Of India","USD","73.59","INR","-"
"1810","XIAOMI CORP","Information Technology","Equity","193,939,103.18","0.70","193,939,103.18","51,309,800.00","-","KYG9830T1067","BG0ZMJ9","3.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","188,275,655.65","0.68","188,275,655.65","2,963,513.00","S67738120","KR7005931001","6773812","63.53","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.95","KRW","Jun 07, 1993"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","185,292,520.00","0.67","185,292,520.00","973,175.00","056752108","US0567521085","B0FXT17","190.40","China","NASDAQ","USD","1.00","USD","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","171,290,465.25","0.62","171,290,465.25","3,834,575.00","62914V106","US62914V1061","BFZX9H8","44.67","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBER","SBERBANK ROSSII","Financials","Equity","145,408,247.37","0.53","145,408,247.37","38,412,591.00","-","RU0009029540","4767981","3.79","Russian Federation","Standard-Classica-Forts","USD","73.53","RUB","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","137,515,916.27","0.50","137,515,916.27","43,860,873.00","S64385644","TW0002317005","6438564","3.14","Taiwan","Taiwan Stock Exchange","USD","28.13","TWD","Sep 26, 1991"
"2454","MEDIATEK INC","Information Technology","Equity","134,893,266.91","0.49","134,893,266.91","5,413,338.00","S63724801","TW0002454006","6372480","24.92","Taiwan","Taiwan Stock Exchange","USD","28.13","TWD","Jul 23, 2001"
"NTES","NETEASE ADR INC","Communication","Equity","131,117,460.83","0.47","131,117,460.83","1,483,397.00","64110W102","US64110W1027","2606440","88.39","China","NASDAQ","USD","1.00","USD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","129,362,147.75","0.47","129,362,147.75","214,730,085.00","-","CNE1000003G1","B1G1QD8","0.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","129,133,756.99","0.47","129,133,756.99","3,376,672.00","-","INE467B01029","B01NPJ1","38.24","India","National Stock Exchange Of India","USD","73.59","INR","-"
