iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 23, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,864,304,352.09","6.98","1,864,304,352.09","6,902,019.00","01609W102","US01609W1027","BP41ZD1","270.11","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,592,973,818.14","5.96","1,592,973,818.14","21,071,700.00","-","KYG875721634","BMMV2K8","75.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,575,640,786.91","5.90","1,575,640,786.91","90,497,000.00","S68891068","TW0002330008","6889106","17.41","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,066,535,015.99","3.99","1,066,535,015.99","17,544,106.00","S67717207","KR7005930003","6771720","60.79","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","521,087,421.23","1.95","521,087,421.23","13,114,400.00","-","KYG596691041","BGJW376","39.73","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","331,537,444.74","1.24","331,537,444.74","1,602,348.00","S66226911","ZAE000015889","6622691","206.91","South Africa","Johannesburg Stock Exchange","USD","15.45","-","ZAR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","276,105,562.51","1.03","276,105,562.51","10,489,131.00","S60996261","INE002A01018","6099626","26.32","India","National Stock Exchange Of India","USD","74.11","-","INR"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","273,841,973.68","1.02","273,841,973.68","3,127,478.00","47215P106","US47215P1066","BMM27D9","87.56","China","NASDAQ","USD","1.00","-","USD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","267,998,823.98","1.00","267,998,823.98","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","251,032,132.28","0.94","251,032,132.28","21,925,500.00","-","CNE1000003X6","B01FLR7","11.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","217,445,471.88","0.81","217,445,471.88","3,926,426.00","62914V106","US62914V1061","BFZX9H8","55.38","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","195,829,999.99","0.73","195,829,999.99","195,830,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"INFY","INFOSYS LTD","Information Technology","Equity","192,623,064.04","0.72","192,623,064.04","12,523,203.00","S62051222","INE009A01021","6205122","15.38","India","National Stock Exchange Of India","USD","74.11","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","183,550,623.41","0.69","183,550,623.41","6,043,295.00","S61719001","INE001A01036","6171900","30.37","India","National Stock Exchange Of India","USD","74.11","-","INR"
"000660","SK HYNIX INC","Information Technology","Equity","181,225,919.76","0.68","181,225,919.76","2,012,242.00","S64502677","KR7000660001","6450267","90.06","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","178,627,426.16","0.67","178,627,426.16","13,586,609.00","S21962865","BRVALEACNOR0","2196286","13.15","Brazil","XBSP","USD","5.42","-","BRL"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","166,790,102.22","0.62","166,790,102.22","3,035,990.00","S67738120","KR7005931001","6773812","54.94","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"2454","MEDIATEK INC","Information Technology","Equity","144,927,222.27","0.54","144,927,222.27","5,562,338.00","S63724801","TW0002454006","6372480","26.06","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"NTES","NETEASE ADR INC","Communication","Equity","143,266,933.06","0.54","143,266,933.06","1,511,414.00","64110W102","US64110W1027","2606440","94.79","China","NASDAQ","USD","1.00","-","USD"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","140,047,980.80","0.52","140,047,980.80","992,896.00","722304102","US7223041028","BYVW0F7","141.05","China","NASDAQ","USD","1.00","-","USD"
"1810","XIAOMI CORP","Information Technology","Equity","138,009,435.53","0.52","138,009,435.53","38,760,400.00","-","KYG9830T1067","BG0ZMJ9","3.56","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"941","CHINA MOBILE LTD","Communication","Equity","135,023,995.20","0.51","135,023,995.20","22,508,500.00","S60735560","HK0941009539","6073556","6.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","133,590,918.64","0.50","133,590,918.64","1,004,141.00","056752108","US0567521085","B0FXT17","133.04","China","NASDAQ","USD","1.00","-","USD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","132,789,636.59","0.50","132,789,636.59","45,677,873.00","S64385644","TW0002317005","6438564","2.91","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","132,251,477.47","0.49","132,251,477.47","223,345,085.00","-","CNE1000003G1","B1G1QD8","0.59","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"SBER","SBERBANK ROSSII","Financials","Equity","122,885,664.33","0.46","122,885,664.33","39,342,681.00","-","RU0009029540","4767981","3.12","Russian Federation","Standard-Classica-Forts","USD","76.47","-","RUB"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","121,267,058.18","0.45","121,267,058.18","3,298,760.00","-","INE467B01029","B01NPJ1","36.76","India","National Stock Exchange Of India","USD","74.11","-","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","118,895,316.67","0.44","118,895,316.67","18,816,628.00","-","INE090A01021","BSZ2BY7","6.32","India","National Stock Exchange Of India","USD","74.11","-","INR"
"2963","WUXI BIOLOGICS (CAYMAN) INC (TEMP)","Health Care","Equity","115,830,262.98","0.43","115,830,262.98","11,023,500.00","-","KYG970081256","BN92PQ8","10.51","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"035420","NAVER CORP","Communication","Equity","114,823,402.53","0.43","114,823,402.53","452,910.00","S65603938","KR7035420009","6560393","253.52","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"051910","LG CHEM LTD","Materials","Equity","113,721,464.40","0.43","113,721,464.40","168,811.00","S63469134","KR7051910008","6346913","673.66","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","102,801,568.80","0.38","102,801,568.80","1,401,330.00","874080104","US8740801043","B4MGD82","73.36","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LKOH","NK LUKOIL","Energy","Equity","100,110,340.84","0.37","100,110,340.84","1,538,706.00","-","RU0009024277","B59SNS8","65.06","Russian Federation","Standard-Classica-Forts","USD","76.47","-","RUB"
"3988","BANK OF CHINA LTD H","Financials","Equity","99,992,988.50","0.37","99,992,988.50","286,015,000.00","-","CNE1000001Z5","B154564","0.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","97,957,348.65","0.37","97,957,348.65","558,639.00","647581107","US6475811070","B1CN1G6","175.35","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"GAZP","GAZPROM","Energy","Equity","97,472,278.77","0.36","97,472,278.77","40,668,629.00","-","RU0007661625","B59L4L7","2.40","Russian Federation","Standard-Classica-Forts","USD","76.47","-","RUB"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","96,265,555.91","0.36","96,265,555.91","203,210.00","S67716456","KR7006400006","6771645","473.72","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"068270","CELLTRION INC","Health Care","Equity","94,557,400.82","0.35","94,557,400.82","348,810.00","-","KR7068270008","B0C5YV1","271.09","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","94,180,182.78","0.35","94,180,182.78","17,670,679.00","-","BRITUBACNPR1","B037HR3","5.33","Brazil","XBSP","USD","5.42","-","BRL"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","92,770,264.45","0.35","92,770,264.45","14,324,967.00","-","CNE1000002M1","B1DYPZ5","6.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"1120","AL RAJHI BANK","Financials","Equity","88,164,595.41","0.33","88,164,595.41","4,510,888.00","-","SA0007879113","B12LZH9","19.54","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","88,079,736.12","0.33","88,079,736.12","546,365.00","S64510555","KR7005380001","6451055","161.21","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
"AMXL","AMERICA MOVIL L","Communication","Equity","87,999,255.47","0.33","87,999,255.47","123,595,600.00","S26674705","MXP001691213","2667470","0.71","Mexico","Bolsa Mexicana De Valores","USD","20.10","-","MXN"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","87,409,664.32","0.33","87,409,664.32","1,460,723.00","98850P109","US98850P1093","BYW4289","59.84","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","86,894,576.84","0.33","86,894,576.84","3,024,059.00","S62616743","INE030A01027","6261674","28.73","India","National Stock Exchange Of India","USD","74.11","-","INR"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","85,647,673.52","0.32","85,647,673.52","3,332,041.00","-","SA0007879121","B1324D0","25.70","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","84,957,557.36","0.32","84,957,557.36","16,612,807.00","S61481974","QA0006929895","6148197","5.11","Qatar","Qatar Exchange","USD","3.64","-","QAR"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","84,845,614.53","0.32","84,845,614.53","36,378,200.00","-","ID1000109507","B01C1P6","2.33","Indonesia","Indonesia Stock Exchange","USD","14,149.00","-","IDR"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","79,611,988.73","0.30","79,611,988.73","17,198,727.00","S26845321","BRPETRACNPR6","2684532","4.63","Brazil","XBSP","USD","5.42","-","BRL"
"883","CNOOC LTD","Energy","Equity","77,603,452.21","0.29","77,603,452.21","65,528,000.00","-","HK0883013259","B00G0S5","1.18","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","76,607,704.73","0.29","76,607,704.73","281,787.00","-","CNE0000018R8","BP3R2F1","271.86","China","Shanghai Stock Exchange","USD","6.57","-","CNY"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","75,920,927.10","0.28","75,920,927.10","7,610,901.00","-","BRB3SAACNOR6","BG36ZK1","9.98","Brazil","XBSP","USD","5.42","-","BRL"
"2222","SAUDI ARABIAN OIL","Energy","Equity","72,880,586.08","0.27","72,880,586.08","7,699,372.00","-","SA14TG012N13","BJTM270","9.47","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","72,472,185.84","0.27","72,472,185.84","16,052,826.00","-","BRBBDCACNPR8","B00FM53","4.51","Brazil","XBSP","USD","5.42","-","BRL"
"035720","KAKAO CORP","Communication","Equity","68,801,386.05","0.26","68,801,386.05","208,157.00","S61940375","KR7035720002","6194037","330.53","Korea (South)","Korea Exchange (Stock Market)","USD","1,110.35","-","KRW"
