iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 18, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,765,743,520.77","6.68","1,765,743,520.77","6,902,019.00","01609W102","US01609W1027","BP41ZD1","255.83","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,600,922,444.87","6.06","1,600,922,444.87","21,071,700.00","-","KYG875721634","BMMV2K8","75.98","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,578,112,980.47","5.97","1,578,112,980.47","90,497,000.00","S68891068","TW0002330008","6889106","17.44","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,029,809,383.40","3.90","1,029,809,383.40","17,544,106.00","S67717207","KR7005930003","6771720","58.70","Korea (South)","Korea Exchange (Stock Market)","USD","1,103.95","-","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","507,487,213.88","1.92","507,487,213.88","13,114,400.00","-","KYG596691041","BGJW376","38.70","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","321,787,220.41","1.22","321,787,220.41","1,602,348.00","S66226911","ZAE000015889","6622691","200.82","South Africa","Johannesburg Stock Exchange","USD","15.42","-","ZAR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","280,973,257.71","1.06","280,973,257.71","10,489,131.00","S60996261","INE002A01018","6099626","26.79","India","National Stock Exchange Of India","USD","74.19","-","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","273,868,552.00","1.04","273,868,552.00","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","269,744,977.50","1.02","269,744,977.50","3,127,478.00","47215P106","US47215P1066","BMM27D9","86.25","China","NASDAQ","USD","1.00","-","USD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","252,413,834.80","0.95","252,413,834.80","21,925,500.00","-","CNE1000003X6","B01FLR7","11.51","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","193,159,999.99","0.73","193,159,999.99","193,160,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
