iShares MSCI India ETF
Fund Holdings as of,"Dec 18, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"101,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","432,096,293.30","10.84","432,096,293.30","15,960,746.00","S60996261","INE002A01018","6099626","27.07","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","321,162,393.58","8.06","321,162,393.58","9,528,882.00","S61719001","INE001A01036","6171900","33.70","India","National Stock Exchange Of India","USD","73.56","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","308,346,441.96","7.73","308,346,441.96","19,064,650.00","S62051222","INE009A01021","6205122","16.17","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","204,123,538.66","5.12","204,123,538.66","5,248,547.00","-","INE467B01029","B01NPJ1","38.89","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","200,702,573.13","5.03","200,702,573.13","28,549,616.00","-","INE090A01021","BSZ2BY7","7.03","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","145,940,214.24","3.66","145,940,214.24","4,600,874.00","S62616743","INE030A01027","6261674","31.72","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","108,322,506.26","2.72","108,322,506.26","1,517,108.00","-","INE296A01024","BD2N0P2","71.40","India","National Stock Exchange Of India","USD","73.56","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","104,952,935.92","2.63","104,952,935.92","12,667,320.00","-","INE238A01034","BPFJHC7","8.29","India","National Stock Exchange Of India","USD","73.56","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","82,167,989.21","2.06","82,167,989.21","3,100,821.00","S61356614","INE237A01028","6135661","26.50","India","National Stock Exchange Of India","USD","73.56","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","78,153,204.44","1.96","78,153,204.44","760,507.00","S66337122","INE585B01010","6633712","102.76","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","75,912,009.59","1.90","75,912,009.59","2,146,597.00","-","INE021A01026","BCRWL65","35.36","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","73,527,630.35","1.84","73,527,630.35","6,073,057.00","S62948963","INE860A01027","6294896","12.11","India","National Stock Exchange Of India","USD","73.56","INR","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","67,055,584.32","1.68","67,055,584.32","3,849,136.00","-","INE018A01030","B0166K8","17.42","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","48,732,199.54","1.22","48,732,199.54","7,020,314.00","S64423270","INE397D01024","6442327","6.94","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ITC","ITC LTD","Consumer Staples","Equity","48,176,906.30","1.21","48,176,906.30","16,522,489.00","-","INE154A01025","B0JGGP5","2.92","India","National Stock Exchange Of India","USD","73.56","INR","-"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","47,117,173.40","1.18","47,117,173.40","188,758.00","S61286050","INE239A01016","6128605","249.62","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","46,276,698.66","1.16","46,276,698.66","651,071.00","S64109598","INE089A01023","6410959","71.08","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","45,240,370.09","1.13","45,240,370.09","645,910.00","-","INE481G01011","B01GZF6","70.04","India","National Stock Exchange Of India","USD","73.56","INR","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","45,085,399.85","1.13","45,085,399.85","4,521,062.00","S61001863","INE101A01026","6100186","9.97","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","44,606,885.48","1.12","44,606,885.48","3,514,082.00","-","INE669C01036","BWFGD63","12.69","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","41,034,630.41","1.03","41,034,630.41","1,986,811.00","S61393401","INE280A01028","6139340","20.65","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","38,690,830.03","0.97","38,690,830.03","742,582.00","S66025180","INE361B01024","6602518","52.10","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SBIN","STATE BANK OF INDIA","Financials","Equity","36,847,879.72","0.92","36,847,879.72","9,985,884.00","-","INE062A01020","BSQCB24","3.69","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","36,723,212.18","0.92","36,723,212.18","4,698,256.00","S65824831","INE044A01036","6582483","7.82","India","National Stock Exchange Of India","USD","73.56","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","36,280,000.00","0.91","36,280,000.00","36,280,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","35,159,977.31","0.88","35,159,977.31","3,954,288.00","-","INE795G01014","BF0TRG6","8.89","India","National Stock Exchange Of India","USD","73.56","INR","-"
"NTPC","NTPC LTD","Utilities","Equity","35,133,786.75","0.88","35,133,786.75","24,911,548.00","-","INE733E01010","B037HF1","1.41","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DMART","AVENUE SUPERMARTS LTD","Consumer Staples","Equity","32,479,121.40","0.81","32,479,121.40","906,045.00","-","INE192R01011","BYW1G33","35.85","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","32,449,418.53","0.81","32,449,418.53","3,781,546.00","S61011565","INE081A01012","6101156","8.58","India","National Stock Exchange Of India","USD","73.56","INR","-"
"WIPRO","WIPRO LTD","Information Technology","Equity","31,600,832.72","0.79","31,600,832.72","6,394,377.00","S62060512","INE075A01022","6206051","4.94","India","National Stock Exchange Of India","USD","73.56","INR","-"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","30,860,237.18","0.77","30,860,237.18","11,708,070.00","-","INE752E01010","B233HS6","2.64","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","30,650,026.60","0.77","30,650,026.60","606,029.00","-","INE216A01030","BGSQG47","50.58","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Utilities","Equity","30,218,091.93","0.76","30,218,091.93","2,187,626.00","-","INE364U01010","BD6H7M6","13.81","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","29,885,286.69","0.75","29,885,286.69","8,797,414.00","-","INE038A01020","B0GWF48","3.40","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","28,576,444.68","0.72","28,576,444.68","670,491.00","S63273270","INE158A01026","6327327","42.62","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","26,769,101.44","0.67","26,769,101.44","213,685.00","-","INE918I01018","B2QKWK1","125.27","India","National Stock Exchange Of India","USD","73.56","INR","-"
"CIPLA","CIPLA LTD","Health Care","Equity","26,762,245.67","0.67","26,762,245.67","2,481,229.00","-","INE059A01026","B011108","10.79","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","26,129,219.23","0.66","26,129,219.23","3,351,344.00","S61214888","INE192A01025","6121488","7.80","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","26,076,783.55","0.65","26,076,783.55","2,238,005.00","-","INE123W01016","BZ60N32","11.65","India","National Stock Exchange Of India","USD","73.56","INR","-"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","25,775,675.54","0.65","25,775,675.54","764,286.00","-","INE066A01021","BMW4CV8","33.73","India","National Stock Exchange Of India","USD","73.56","INR","-"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","24,974,702.76","0.63","24,974,702.76","395,593.00","-","INE663F01024","B1685L0","63.13","India","National Stock Exchange Of India","USD","73.56","INR","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","23,434,337.64","0.59","23,434,337.64","4,733,437.00","-","INE019A01038","BZBYJJ7","4.95","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","23,329,230.86","0.59","23,329,230.86","9,505,321.00","-","INE155A01022","B611LV1","2.45","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Financials","Equity","22,731,938.29","0.57","22,731,938.29","1,144,238.00","-","INE765G01017","BYXH7P9","19.87","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BANDHANBNK","BANDHAN BANK LTD","Financials","Equity","22,497,332.17","0.56","22,497,332.17","4,054,356.00","-","INE545U01014","BG1SV45","5.55","India","National Stock Exchange Of India","USD","73.56","INR","-"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD","Consumer Staples","Equity","22,402,276.79","0.56","22,402,276.79","2,288,247.00","-","INE102D01028","B1BDGY0","9.79","India","National Stock Exchange Of India","USD","73.56","INR","-"
"VEDL","VEDANTA LTD","Materials","Equity","20,835,761.30","0.52","20,835,761.30","10,398,621.00","S61360400","INE205A01025","6136040","2.00","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DABUR","DABUR INDIA LTD","Consumer Staples","Equity","20,539,869.58","0.52","20,539,869.58","2,966,506.00","S62973565","INE016A01026","6297356","6.92","India","National Stock Exchange Of India","USD","73.56","INR","-"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","20,482,317.52","0.51","20,482,317.52","1,656,413.00","-","INE047A01021","BYQKH33","12.37","India","National Stock Exchange Of India","USD","73.56","INR","-"
