iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 12, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,824,272,641.89","7.05","1,824,272,641.89","6,902,019.00","01609W102","US01609W1027","BP41ZD1","264.31","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,567,901,541.68","6.06","1,567,901,541.68","21,071,700.00","-","KYG875721634","BMMV2K8","74.41","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,453,461,189.14","5.62","1,453,461,189.14","90,497,000.00","S68891068","TW0002330008","6889106","16.06","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","959,984,271.62","3.71","959,984,271.62","17,544,106.00","S67717207","KR7005930003","6771720","54.72","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.80","-","KRW"
"3690","MEITUAN DIANPING","Consumer Discretionary","Equity","485,032,647.93","1.87","485,032,647.93","13,114,400.00","-","KYG596691041","BGJW376","36.98","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","323,667,866.55","1.25","323,667,866.55","1,602,348.00","S66226911","ZAE000015889","6622691","202.00","South Africa","Johannesburg Stock Exchange","USD","15.58","-","ZAR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","278,792,572.93","1.08","278,792,572.93","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.79","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","278,230,013.80","1.07","278,230,013.80","10,489,131.00","S60996261","INE002A01018","6099626","26.53","India","National Stock Exchange Of India","USD","74.65","-","INR"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","270,151,549.64","1.04","270,151,549.64","3,127,478.00","47215P106","US47215P1066","BMM27D9","86.38","China","NASDAQ","USD","1.00","-","USD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","244,714,654.62","0.95","244,714,654.62","21,925,500.00","-","CNE1000003X6","B01FLR7","11.16","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","189,959,999.99","0.73","189,959,999.99","189,960,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","189,646,375.80","0.73","189,646,375.80","3,926,426.00","62914V106","US62914V1061","BFZX9H8","48.30","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","188,807,934.48","0.73","188,807,934.48","6,043,295.00","S61719001","INE001A01036","6171900","31.24","India","National Stock Exchange Of India","USD","74.65","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","187,525,087.46","0.72","187,525,087.46","12,523,203.00","S62051222","INE009A01021","6205122","14.97","India","National Stock Exchange Of India","USD","74.65","-","INR"
"000660","SK HYNIX INC","Information Technology","Equity","159,022,712.77","0.61","159,022,712.77","2,012,242.00","S64502677","KR7000660001","6450267","79.03","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.80","-","KRW"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","157,356,690.14","0.61","157,356,690.14","13,586,609.00","S21962865","BRVALEACNOR0","2196286","11.58","Brazil","XBSP","USD","5.41","-","BRL"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","156,047,925.19","0.60","156,047,925.19","3,035,990.00","S67738120","KR7005931001","6773812","51.40","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.80","-","KRW"
